Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/concert-service/api/v1/concert/10,266,0,36,115.40141015037571,17.45079999999888,634.7349999999992,151.88721804511277,1.4956141341579279,0.0,36,48,62,120,520,560,610,620,630,630,630
POST,/concert-service/api/v1/seat,313,0,22,30.135152396166408,13.568800000001602,137.5639000000035,94.74760383386581,1.7598767819226746,0.0,22,26,30,33,62,73,88,91,140,140,140
GET,/concert-service/api/v1/seat/10,308,0,26,32.77254123376679,16.943900000001122,322.0930000000237,98.76298701298701,1.7317637342881271,0.0,26,30,39,43,53,65,76,85,320,320,320
GET,/concert-service/api/v1/seat/rest/10,321,0,26,34.112657009345526,16.416999999997017,195.88899999999398,95.79127725856698,1.8048576581379507,0.0,26,33,41,45,57,69,97,110,200,200,200
PUT,/payment-service/api/v1/reservation/3040,1,0,52.26360000000341,52.26360000000341,52.26360000000341,52.26360000000341,0.0,0.005622609526909504,0.0,52,52,52,52,52,52,52,52,52,52,52
PUT,/payment-service/api/v1/reservation/3041,1,0,64.6428999999955,64.6428999999955,64.6428999999955,64.6428999999955,0.0,0.005622609526909504,0.0,65,65,65,65,65,65,65,65,65,65,65
PUT,/payment-service/api/v1/reservation/3042,1,0,49.45870000000241,49.45870000000241,49.45870000000241,49.45870000000241,0.0,0.005622609526909504,0.0,49,49,49,49,49,49,49,49,49,49,49
PUT,/payment-service/api/v1/reservation/3043,1,0,49.390799999997625,49.390799999997625,49.390799999997625,49.390799999997625,0.0,0.005622609526909504,0.0,49,49,49,49,49,49,49,49,49,49,49
PUT,/payment-service/api/v1/reservation/3044,1,0,52.344599999997854,52.344599999997854,52.344599999997854,52.344599999997854,0.0,0.005622609526909504,0.0,52,52,52,52,52,52,52,52,52,52,52
PUT,/payment-service/api/v1/reservation/3045,1,0,47.7950000000078,47.7950000000078,47.7950000000078,47.7950000000078,0.0,0.005622609526909504,0.0,48,48,48,48,48,48,48,48,48,48,48
PUT,/payment-service/api/v1/reservation/3046,1,0,47.98049999999421,47.98049999999421,47.98049999999421,47.98049999999421,0.0,0.005622609526909504,0.0,48,48,48,48,48,48,48,48,48,48,48
PUT,/payment-service/api/v1/reservation/3047,1,0,43.04249999998433,43.04249999998433,43.04249999998433,43.04249999998433,0.0,0.005622609526909504,0.0,43,43,43,43,43,43,43,43,43,43,43
PUT,/payment-service/api/v1/reservation/3048,1,0,58.342199999998456,58.342199999998456,58.342199999998456,58.342199999998456,0.0,0.005622609526909504,0.0,58,58,58,58,58,58,58,58,58,58,58
PUT,/payment-service/api/v1/reservation/3049,1,0,48.216300000007095,48.216300000007095,48.216300000007095,48.216300000007095,0.0,0.005622609526909504,0.0,48,48,48,48,48,48,48,48,48,48,48
PUT,/payment-service/api/v1/reservation/3050,1,0,49.895099999986314,49.895099999986314,49.895099999986314,49.895099999986314,0.0,0.005622609526909504,0.0,50,50,50,50,50,50,50,50,50,50,50
PUT,/payment-service/api/v1/reservation/3051,1,0,49.86310000001026,49.86310000001026,49.86310000001026,49.86310000001026,0.0,0.005622609526909504,0.0,50,50,50,50,50,50,50,50,50,50,50
